car_name,model,date,odometer,miles,gallons,price
2011 Nissan Quest 3.5SL,Nissan Quest,2022-01-02,97208,302,13.679,3.259
2011 Nissan Quest 3.5SL,Nissan Quest,2022-01-03,97521,313,13.491,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2022-01-14,97882,301,16.501,3.079
2011 Nissan Quest 3.5SL,Nissan Quest,2022-02-06,98119,297,16.656,2.919
2011 Nissan Quest 3.5SL,Nissan Quest,2022-02-26,98438,319,16.959,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2022-03-12,98717,279,14.869,3.999
2011 Nissan Quest 3.5SL,Nissan Quest,2022-03-30,99002,285,15.419,3.899
2011 Nissan Quest 3.5SL,Nissan Quest,2022-04-17,99255,253,14.023,3.509
2011 Nissan Quest 3.5SL,Nissan Quest,2022-04-30,99492,227,13.399,3.749
2011 Nissan Quest 3.5SL,Nissan Quest,2022-05-16,99777,285,15.486,4.299
2011 Nissan Quest 3.5SL,Nissan Quest,2022-05-30,100069,292,16.502,4.099
2011 Nissan Quest 3.5SL,Nissan Quest,2022-07-02,100345,276,15.625,4.009
2011 Nissan Quest 3.5SL,Nissan Quest,2022-07-23,100627,282,16.068,3.769
2011 Nissan Quest 3.5SL,Nissan Quest,2022-08-13,100854,227,14.185,3.179
2011 Nissan Quest 3.5SL,Nissan Quest,2022-08-26,101158,304,17.71,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2022-09-11,101384,226,12.732,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2022-09-24,101648,264,14.659,2.979
2011 Nissan Quest 3.5SL,Nissan Quest,2022-10-08,101944,296,15.962,3.239
2011 Nissan Quest 3.5SL,Nissan Quest,2022-10-22,102267,323,18.179,3.099
2011 Nissan Quest 3.5SL,Nissan Quest,2022-11-05,102545,278,14.697,2.979
2011 Nissan Quest 3.5SL,Nissan Quest,2022-11-27,102824,279,15.047,2.859
2011 Nissan Quest 3.5SL,Nissan Quest,2022-12-10,103120,296,15.261,2.689
2011 Nissan Quest 3.5SL,Nissan Quest,2023-01-07,103444,324,17.529,2.729
2011 Nissan Quest 3.5SL,Nissan Quest,2023-01-27,103769,325,17.411,3.259
2011 Nissan Quest 3.5SL,Nissan Quest,2023-02-12,104041,272,14.192,2.889
2011 Nissan Quest 3.5SL,Nissan Quest,2023-02-19,104292,251,12.583,2.909
2011 Nissan Quest 3.5SL,Nissan Quest,2023-03-09,104600,308,16.971,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2023-03-28,104882,282,15.572,3.159
2011 Nissan Quest 3.5SL,Nissan Quest,2023-04-09,105057,175,10.03,3.299
2011 Nissan Quest 3.5SL,Nissan Quest,2023-04-22,105341,284,15.942,3.349
2011 Nissan Quest 3.5SL,Nissan Quest,2023-05-10,105629,288,16.907,3.169
2011 Nissan Quest 3.5SL,Nissan Quest,2023-05-20,105907,278,15.972,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2023-06-03,106104,197,11.13,3.089
2011 Nissan Quest 3.5SL,Nissan Quest,2023-06-12,106317,213,11.279,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2023-06-16,106646,329,16.474,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2023-06-19,106798,152,8.564,3.079
2011 Nissan Quest 3.5SL,Nissan Quest,2023-06-26,107089,291,13.95,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2023-07-08,107364,275,15.119,2.899
2011 Nissan Quest 3.5SL,Nissan Quest,2023-07-22,107602,238,14.098,3.039
2011 Nissan Quest 3.5SL,Nissan Quest,2023-08-12,107866,264,15.575,3.249
2011 Nissan Quest 3.5SL,Nissan Quest,2023-08-26,108149,283,16.885,3.249
2011 Nissan Quest 3.5SL,Nissan Quest,2023-09-09,108383,234,15.39,3.179
2011 Nissan Quest 3.5SL,Nissan Quest,2023-09-23,108684,301,17.827,3.199
2011 Nissan Quest 3.5SL,Nissan Quest,2023-10-07,108958,274,15.119,3.029
2011 Nissan Quest 3.5SL,Nissan Quest,2023-10-21,109216,258,15.488,2.999
2011 Nissan Quest 3.5SL,Nissan Quest,2023-11-06,109463,247,14.585,2.899
